OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_7851	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor racemosus	Fungi	97.391	98
OTU_7852	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	95.741	100
OTU_7853	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	97.232	98
OTU_7854	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	97.569	98
OTU_7855	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	97.043	98
OTU_7856	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	97.739	98
OTU_7857	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	95.517	98
OTU_7858	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	Fungi	98.727	93
OTU_7859	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus			0	0
OTU_7860	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Myrotheciomycetaceae	Trichothecium	Trichothecium roseum		0	0
OTU_7861	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	95.427	93
OTU_7862	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	94.004	89
OTU_7863	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ruber	Fungi	92.899	100
OTU_7864	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	91.972	100
OTU_7865	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ruber	Fungi	96.881	100
OTU_7866	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	91.882	93
OTU_7867	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	92.235	100
OTU_7868	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	95.052	89
OTU_7869	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Fungi	95.991	83
OTU_7870	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	96.840	81
OTU_7871	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	98.956	89
OTU_7872	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma		Fungi	97.383	96
OTU_7873	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma		Fungi	97.948	96
OTU_7874	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma			0	0
OTU_7875	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	96.276	100
OTU_7876	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium			0	0
OTU_7877	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Fungi	93.952	84
OTU_7878	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces		Fungi	94.612	84
OTU_7879	Fungi	Ascomycota							0	0
OTU_7880	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	92.463	99
OTU_7881	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	93.585	99
OTU_7882	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Teichosporaceae	Teichospora	Teichospora pusilla	Fungi	99.352	92
OTU_7883	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium		Fungi	99.563	91
OTU_7884	Fungi	Ascomycota						Fungi	86.985	86
OTU_7885	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			Fungi	97.713	98
OTU_7886	Fungi	Ascomycota						Fungi	89.732	90
OTU_7887	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Melanconidaceae	Melanconium	Melanconium hedericola	Fungi	99.793	93
OTU_7888	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zymoseptoria		Fungi	98.901	92
OTU_7889	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae			Viridiplantae	99.658	90
OTU_7890	Fungi							Viridiplantae	99.342	97
OTU_7891	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	Aureobasidium pullulans	Fungi	99.800	94
OTU_7892	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			Fungi	96.289	98
OTU_7893	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			Fungi	96.687	98
OTU_7894	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium		Fungi	99.563	91
OTU_7895	Fungi	Ascomycota						Fungi	93.654	93
OTU_7896	Fungi							Viridiplantae	99.822	93
OTU_7897	Fungi							Viridiplantae	99.155	94
OTU_7898	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			Fungi	95.876	98
OTU_7899	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium		Fungi	99.563	91
OTU_7900	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae			Fungi	95.876	98
OTU_7901	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor			0	0
OTU_7902	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	96.089	100
OTU_7903	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium brevicompactum	Fungi	97.576	93
OTU_7904	Fungi	Ascomycota							0	0
OTU_7905	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	98.760	92
OTU_7906	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma		Fungi	99.438	96
OTU_7907	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	96.164	76
OTU_7908	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium		Fungi	94.786	100
OTU_7909	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	99.125	86
OTU_7910	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium ferraniaense	Fungi	98.488	99
OTU_7911	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	Fungi	99.455	93
OTU_7912	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor fragilis	Fungi	97.396	98
OTU_7913	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae				0	0
OTU_7914	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus reticulatus	Fungi	96.455	93
OTU_7915	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus ruber	Fungi	97.830	100
OTU_7916	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor circinelloides	Fungi	99.091	93
OTU_7917	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus		Fungi	97.026	93
OTU_7918	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Calcarisporiaceae	Calcarisporium	Calcarisporium cordycipiticola	Fungi	99.161	92
OTU_7919	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor		Fungi	92.701	92
