Timestamp	Sample prefix	Sample number	Sample_name_desc	Collector	Broad-scope substrate	Lat-Long	Sample description	Item (sink, toilet, P-trap, etc.) 	Volume	Column 9	Sample description	Flow rate (LPM)	Sampling time (min)	Sample description	Plant species	Sampling method	Organs sampled	Site description	Sampling method	Sampling area (cm^2)	Substrate description	Substrate description 	Depth minimum (cm)	Depth maximum (cm)	Vegetation	Material
1/17/2025 17:01:26	NC25	213	GLF_UPSTRM_10M_RIVERDIST_58M_0CM	Julian Liber	Soil	35.6238717, -82.3301308																Lawn, 190ft from creek, next to road	0	2	Turf, clover 	Soil
1/17/2025 16:58:23	NC25	214	GLF_UPSTRM_10M_RIVERDIST_58M_6CM	Julian Liber	Soil	35.6238717, -82.3301308																Lawn, next to road, 190ft to creek	6	8	Turf, clover 	Soil
1/17/2025 17:04:34	NC25	215	GLF_MUD_INDOOR-1	Erica Washington	Mud indoor	35°37′25″ N  82°19′47″ W								Indoor mud golf												Soil
1/17/2025 17:05:24	NC25	216	GLF_MUD_INDOOR-2	Erica Washington	Indoor mud	35°37′25″ N  82°19′47″ W								Indoor mud golf												Soil
1/17/2025 16:50:38	NC25	217	GLF_DWNSTRM_0M_RIVERDIST_58M_0CM	Julian Liber	Soil	35.6235801, -82.3299464																Lawn, 58m from creek, 6m from end of culvert	0	2	Turf, clover, chickweed	Soil
1/17/2025 16:49:03	NC25	218	GLF_DWNSTRM_0M_RIVERDIST_58M_6CM	Julian Liber	Soil	35.6235801, -82.3299464																Lawn, 58m from creek, 6m up from end of culvert	6	8	Turf, clover, chickweed	Soil
1/17/2025 16:42:16	NC25	219	GLF_AIR_BREAKROOM-1	Andrew Jones	Air sample	35°37′25″ N  82°19′47″ W					Break room	High flow 	5													Air
1/17/2025 14:36:21	NC25	220	PW_DWNSTRM_25M_RIVERDIST_40M_CYPRESS_DRY-1	Julian Liber	Dry sample	35°36′48″ N  82°19′19″ W								Leaves hedge above flood line												Plant
1/17/2025 15:38:41	NC25	221	PW_PLASTIC_DOCS-1	Erica Washington	Documents	35.61309,-82.32053								Plastic on file folder, covered in sediment, moist since the flood												Plastic
1/17/2025 14:33:51	NC25	222	PW_DWNSTRM_25M_RIVERDIST_40M_CYPRESS_FLOOD-1	Erica Washington	Plant	35.61309,-82.32257									Cypress	Dry sample	Leaves	Hedge along fence, below flood line								Plant
1/17/2025 14:51:47	NC25	223	PW_UPSTRM_0M_RIVERDIST_10M_2CM	Julian Liber	Soil	35.61209,-82.32111																River side of building, soft sediment on top	2	4	Grasses and speedwell	Soil
1/17/2025 14:27:07	NC25	224	PW_DWNSTRM_36M_RIVERDIST_57M_BARK_DRY-1	Erica Washington	Plant	35.61314,-82.32259									Silver maple	Dry sample	Bark	Tree in grassy field next to road, above flood line								Plant
1/17/2025 14:49:27	NC25	225	PW_UPSTRM_0M_RIVERDIST_10M_12CM	Julian Liber	Soil	35.6122,-82.32121																River side of building, soft sediment above, bottom of core 	12	14	Grasses, speedwell	Soil
1/17/2025 14:29:39	NC25	226	PW_DWNSTRM_36M_RIVERDIST_57M_BARK_FLOOD-1	Erica Washington	Plant	35.61314,-82.32259									Silver maple 	Dry sample	Bark	Tree in grassy field next to road, below flood line								Plant
1/17/2025 15:37:45	NC25	227	PW_PAPER_DOCS-1	Erica Washington	Documents	35.61309,-82.32053								Wet papers and file folders in office, moist since the flood												Paper
1/17/2025 16:55:54	NC25	228	GLF_INSULATION-1	Andrew Jones	Built surface	35°37′26″ N  82°19′47″ W													Swab		Insulation					Fiberglass
1/17/2025 15:42:51	NC25	229	PW_AIR_ATTIC-1	Andrew Jones	Air sample	35°36′47″ N  82°19′12″ W					Upstairs attic 	200	30													Air
1/17/2025 15:39:18	NC25	230	PW_PAPER_DOCS-2	Erica Washington	Documents	35.61309,-82.32053								File folder, wet since the flood												Paper
1/17/2025 19:03:51	NC25	232	VP_TOLIET_LID_MUDDY-1	Vesper Fraunfelter	Built surface	35.6081050, -82.3381995													Swab	10	Toilet lid (outer), some dirt coverage 					Plastic
1/17/2025 15:51:13	NC25	233	PW_WATER_KTCH_SINK-1	Andrew Jones	Water sample	35°36′48″ N  82°19′12″ W		Kitchen sink	1 L																	Water
1/17/2025 16:40:52	NC25	234	PW_WATER_PTRAP-1	Andrew Jones	Water sample	35°37′25″ N  82°19′47″ W		P-trap	45 mL																	Water
1/17/2025 18:20:23	NC25	238	VP_MUD_TOLIET-2	Andrew Jones	Soil	35°36′29″ N  82°20′13″ W																Concession stand toilet 				Soil
1/17/2025 18:21:48	NC25	238	VP_MUD_SINK-1	Andrew Jones	Soil	35°36′29″ N  82°20′13″ W																Sink drain				Soil
